Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,div,Log_VolumeGain
9/22/2021 12:00,41928.31,43296,41874.65,43222.96,10769,458225414,230020,0.970047169,45.44867713
9/22/2021 16:00,43222.96,44000.55,42855.01,43384.9,13705,595042195,324151,0.996267365,26.12710857
9/22/2021 20:00,43384.93,43673.42,43006,43543.61,5802,251938744,152754,0.996355837,-85.94463404
9/23/2021 0:00,43546.37,44191.42,43069.09,44074.57,7741,337581786,209924,0.988015765,29.26218312
9/23/2021 4:00,44074.58,44386.6,43685.8,44229.99,6362,280253599,173320,0.996486321,-18.61129059
9/23/2021 8:00,44229.99,44297.25,43361,43648.15,8153,357318858,191472,1.013330233,24.29336388
9/23/2021 12:00,43648.15,44258.11,43394,43747.63,9131,400643377,229515,0.997726048,11.44431546
9/23/2021 16:00,43747.63,44936.77,43602,44767.57,10931,486311479,242080,0.97721699,19.37776245
9/23/2021 20:00,44767.56,44978,44358,44865.26,6381,285102206,149795,0.997822369,-53.40015884
9/24/2021 0:00,44865.26,44978.53,44205,44283.03,7012,312537931,177233,1.013147926,9.187810749
9/24/2021 4:00,44283.04,45200,43889.64,44818.46,10084,448306024,235247,0.988053583,36.07502475
9/24/2021 8:00,44818.46,45075,40675,41527.5,33100,1409494289,666662,1.079247727,114.551017
9/24/2021 12:00,41527.5,42679.93,40843.82,41944.01,20640,862290329,371448,0.990069857,-49.13942362
9/24/2021 16:00,41944,42533.47,41742.01,42371.43,6656,280388498,189595,0.989912306,-112.3415888
9/24/2021 20:00,42371.43,43200,42303.78,42810.57,6622,283701161,179559,0.989742253,1.174529981
9/25/2021 0:00,42810.58,42950,42024.54,42608.11,6133,260831832,153895,1.004751912,-8.404555634
9/25/2021 4:00,42608.11,42860.94,42206.43,42372.02,4331,184465235,134512,1.005571837,-34.64148603
9/25/2021 8:00,42369.52,42966.84,41646.28,42485.03,9017,382385025,228248,0.99728116,72.89670023
9/25/2021 12:00,42485.03,42765.54,42156.33,42669.96,6500,276127438,171296,0.995666038,-32.55655288
9/25/2021 16:00,42669.97,42813.34,42348.39,42665.95,4644,197827125,135571,1.00009422,-33.34689478
9/25/2021 20:00,42665.95,42808.29,42375,42670.64,2969,126602095,126265,0.999890088,-44.63444855
9/26/2021 0:00,42670.63,42735.05,41904.02,42212.4,6281,265599190,168845,1.010855341,74.09393101
9/26/2021 4:00,42212.41,42302.79,40750,41231.34,8923,371129057,221347,1.023794279,33.45614968
9/26/2021 8:00,41227.07,43746.9,41037.13,43063.57,16196,688091844,374930,0.957353745,61.73724586
9/26/2021 12:00,43063.57,43467.22,43063.57,43343.73,6836,295897909,207824,0.99353632,-84.39078304
9/26/2021 16:00,43343.73,43543.99,43078.33,43252.54,5061,218886298,193184,1.002108315,-30.1462085
9/26/2021 20:00,43255.32,43950,42673.67,43160.9,6581,285052780,208015,1.002187628,26.41219483
9/27/2021 0:00,43160.9,44350,42933,44038.75,7631,334769527,186200,0.980066419,16.07679598
9/27/2021 4:00,44038.74,44250,43662,43688.03,5043,221651396,127694,1.008027599,-41.23364566
9/27/2021 8:00,43685.34,44129.28,43367.57,43747.69,6313,276191465,154135,0.998574782,21.99884796
9/27/2021 12:00,43747.68,44089.75,43045.53,43293.26,8097,351428182,211560,1.010496322,24.09110328
9/27/2021 16:00,43293.27,43416.42,42850,43011.82,6043,260514538,160840,1.00654355,-29.9346704
